SPCD,SPECIES_SYMBOL,COMMON_NAME,GENUS,SPECIES,VARIETY,SUBSPECIES,E_SPGRPCD,W_SPGRPCD,C_SPGRPCD,P_SPGRPCD,MAJOR_SPGRPCD,STOCKING_SPGRPCD,FOREST_TYPE_SPGRPCD,EXISTS_IN_NCRS,EXISTS_IN_NERS,EXISTS_IN_PNWRS,EXISTS_IN_RMRS,EXISTS_IN_SRS,SITETREE,SFTWD_HRDWD,ST_EXISTS_IN_NCRS,ST_EXISTS_IN_NERS,ST_EXISTS_IN_PNWRS,ST_EXISTS_IN_RMRS,ST_EXISTS_IN_SRS,CORE,EAST,WEST,CARIBBEAN,PACIFIC,WOODLAND,MANUAL_START,MANUAL_END,JENKINS_SPGRPCD,JENKINS_TOTAL_B1,JENKINS_TOTAL_B2,JENKINS_STEM_WOOD_RATIO_B1,JENKINS_STEM_WOOD_RATIO_B2,JENKINS_STEM_BARK_RATIO_B1,JENKINS_STEM_BARK_RATIO_B2,JENKINS_FOLIAGE_RATIO_B1,JENKINS_FOLIAGE_RATIO_B2,JENKINS_ROOT_RATIO_B1,JENKINS_ROOT_RATIO_B2,JENKINS_SAPLING_ADJUSTMENT,WOOD_SPGR_GREENVOL_DRYWT,WOOD_SPGR_GREENVOL_DRYWT_CIT,BARK_SPGR_GREENVOL_DRYWT,BARK_SPGR_GREENVOL_DRYWT_CIT,MC_PCT_GREEN_BARK,MC_PCT_GREEN_BARK_CIT,MC_PCT_GREEN_WOOD,MC_PCT_GREEN_WOOD_CIT,WOOD_SPGR_MC12VOL_DRYWT,WOOD_SPGR_MC12VOL_DRYWT_CIT,BARK_VOL_PCT,BARK_VOL_PCT_CIT,RAILE_STUMP_DOB_B1,RAILE_STUMP_DIB_B1,RAILE_STUMP_DIB_B2,CWD_DECAY_RATIO1,CWD_DECAY_RATIO2,CWD_DECAY_RATIO3,CWD_DECAY_RATIO4,CWD_DECAY_RATIO5,DWM_CARBON_RATIO,STANDING_DEAD_DECAY_RATIO1,STANDING_DEAD_DECAY_RATIO2,STANDING_DEAD_DECAY_RATIO3,STANDING_DEAD_DECAY_RATIO4,STANDING_DEAD_DECAY_RATIO5,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,DRYWT_TO_GREENWT_CONVERSION
998,2TB,unknown dead hardwood,Tree,broadleaf,,,43,47,54,54,3,37,221,X,X,X,,X,,H,,,,,,Y,E,W,C,P,,2,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,0.991,0.822,0.647,0.541,0.541,NIMS_2_1,2/24/2005 0:00,333,FS_NIMS_PNWRS,6/11/2020 0:00,67572,1.758473594
299,2TE,unknown dead conifer,Tree,evergreen,,,9,24,52,52,2,20,220,X,X,X,,X,,S,,,,,,Y,E,W,C,P,,1.7,,4,-2.5356,2.4349,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.45789,0.41,26,0.42,26,70.5,26,74.29,26,0.44,26,14.31,26,0.08091,0.90698,0.08469,1,0.84,0.71,0.45,0.45,0.521,0.982,0.942,0.905,0.588,0.588,NIMS_2_1,2/24/2005 0:00,333,FS_NIMS_PNWRS,6/11/2020 0:00,67572,1.738054529
999,2TREE,other or unknown live tree,Tree,unknown,,,43,47,54,52,3,37,221,X,X,X,,X,,H,,,,,,Y,E,W,C,P,,2,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.506,0.987,0.837,0.685,0.539,0.539,NIMS_2_1,2/24/2005 0:00,333,FS_NIMS_PNWRS,6/11/2020 0:00,67572,1.758473594
11,ABAM,Pacific silver fir,Abies,amabilis,,,9,12,,,2,18,1,,,X,,,X,S,,,X,,,Y,,W,,,,1.7,,3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.60193,0.4,1,0.44,7,63.90909,18,70,7,0.43,1,14,30,0.12667,0.914,0.11975,0.9,0.83,0.604,0.404,0.309,0.521,0.936,0.955,0.803,0.574,0.574,NIMS_2_1,2/24/2005 9:40,333,FS_NIMS_PNWRS,2/16/2017 11:50,798795,1.691871749
12,ABBA,balsam fir,Abies,balsamea,,,6,12,,,2,1,55,X,X,,,X,X,S,X,X,,,,Y,E,W,,,,1.7,,3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.60817,0.33,1,0.4,4,100.325,12,118.54545,4,0.35,1,12,35,0.12667,0.914,0.11975,1,1,0.828,0.5,0.294,0.521,1.04,1.15,1.101,0.71,0.71,NIMS_2_1,2/24/2005 9:40,333,FS_NIMS_PNWRS,2/16/2017 11:50,798795,2.162317421
14,ABBR,Santa Lucia or bristlecone fir,Abies,bracteata,,,9,12,,,2,18,2,,,X,,,,S,,,,,,Y,,W,,,,1.7,,3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.60193,0.36,24,0.49,24,62.43,24,84,24,0.38,24,11.76,24,0.12667,0.914,0.11975,0.979,0.848,0.604,0.404,0.309,0.521,1.018,0.975,0.803,0.574,0.574,NIMS_2_1,2/24/2005 9:40,333,FS_NIMS_PNWRS,2/16/2017 11:50,798795,1.81023759
15,ABCO,white fir,Abies,concolor,,,9,12,,,2,15,2,X,,X,X,X,X,S,,,X,X,,Y,,W,,,,1.7,,3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.60193,0.37,1,0.56,3,63.125,18,103.56757,4,0.39,1,12,21,0.12667,0.914,0.11975,0.958,0.759,0.47,0.381,0.33,0.521,0.996,0.873,0.625,0.541,0.541,NIMS_2_1,2/24/2005 9:40,333,FS_NIMS_PNWRS,2/16/2017 11:50,798795,1.973513287
16,ABFR,Fraser fir,Abies,fraseri,,,9,12,,,2,1,56,X,X,,,X,,S,,,,,,Y,E,,,,,1.7,,3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.63086,0.36,24,0.49,24,62.43,24,84,24,0.38,24,11.76,24,0.12667,0.914,0.11975,0.979,0.848,0.604,0.404,0.309,0.521,1.018,0.975,0.803,0.574,0.574,NIMS_2_1,2/24/2005 9:40,333,FS_NIMS_PNWRS,2/16/2017 11:50,798795,1.81023759
17,ABGR,grand fir,Abies,grandis,,,9,12,,,2,18,3,,,X,X,,X,S,,,X,X,,Y,,W,,,,1.7,,3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.60193,0.35,1,0.57,3,63.07018,18,106.05714,4,0.37,1,12,21,0.12667,0.914,0.11975,0.974,0.84,0.643,0.404,0.309,0.521,1.013,0.966,0.855,0.574,0.574,NIMS_2_1,2/24/2005 9:40,333,FS_NIMS_PNWRS,2/16/2017 11:50,798795,1.990296351
10,ABIES,fir spp.,Abies,spp.,,,6,12,,,2,1,220,X,X,,,X,,S,,,,,,N,E,W,,,,1.7,,3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.60817,0.36,23,0.49,23,62.43,23,84,23,0.38,23,11.76,21,0.12667,0.914,0.11975,1,0.84,0.71,0.45,0.45,0.521,1.018,0.975,0.803,0.622,0.622,NIMS_2_1,2/24/2005 9:40,333,FS_NIMS_PNWRS,2/16/2017 11:50,798795,1.81023759
19,ABLA,subalpine fir,Abies,lasiocarpa,,,9,12,,,2,1,4,,,X,X,X,X,S,,,X,X,,Y,,W,,,,1.7,,3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.60193,0.31,1,0.5,3,63.46,18,44.74194,4,0.32,1,10.8,27,0.12667,0.914,0.11975,1,0.929,0.752,0.49,0.377,0.521,1.04,1.068,1,0.696,0.696,NIMS_2_1,2/24/2005 9:40,333,FS_NIMS_PNWRS,2/16/2017 11:50,798795,1.475187951
18,ABLAA,corkbark fir,Abies,lasiocarpa,arizonica,,9,12,,,2,1,4,,,,X,X,X,S,,,,X,,Y,,W,,,,1.7,,3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.60193,0.36,24,0.49,24,62.43,24,84,24,0.38,24,11.76,24,0.12667,0.914,0.11975,1,0.929,0.752,0.49,0.377,0.521,1.04,1.068,1,0.696,0.696,NIMS_2_1,2/24/2005 9:40,333,FS_NIMS_PNWRS,2/16/2017 11:50,798795,1.81023759
20,ABMA,California red fir,Abies,magnifica,,,9,12,,,2,18,5,,,X,X,,X,S,,,X,X,,Y,,W,,,,1.7,,3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.60193,0.36,1,0.44,3,20.18182,7,113.66667,4,0.38,1,10.8,21,0.12667,0.914,0.11975,1,0.939,0.471,0.329,0.233,0.521,1.04,1.08,0.626,0.467,0.467,NIMS_2_1,2/24/2005 9:40,333,FS_NIMS_PNWRS,2/16/2017 11:50,798795,2.027656098
22,ABPR,noble fir,Abies,procera,,,9,12,,,2,18,7,,,X,X,,X,S,,,X,X,,Y,,W,,,,1.7,,3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.60193,0.37,1,0.49,3,63.53061,18,29.94595,4,0.39,1,10.8,21,0.12667,0.914,0.11975,0.995,0.727,0.635,0.405,0.309,0.521,1.035,0.836,0.845,0.575,0.575,NIMS_2_1,2/24/2005 9:40,333,FS_NIMS_PNWRS,2/16/2017 11:50,798795,1.341484001
21,ABSH,Shasta red fir,Abies,shastensis,,,9,12,,,2,18,5,,,X,X,,X,S,,,X,X,,Y,,W,,,,1.7,,3,-2.5384,2.4814,-0.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,0.6614,0.60193,0.36,24,0.49,24,62.43,24,84,24,0.38,24,11.76,24,0.12667,0.914,0.11975,1,0.84,0.71,0.45,0.45,0.521,1.018,0.975,0.803,0.574,0.574,NIMS_2_1,2/24/2005 9:40,333,FS_NIMS_PNWRS,2/16/2017 11:50,798795,1.81023759
300,ACACI,acacia spp.,Acacia,spp.,,,48,48,54,54,3,38,160,,,X,,X,,H,,,,,,N,E,W,C,P,,1.7,,10,-0.7152,1.7029,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.65075,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12798,0.92267,0.12506,1,0.84,0.71,0.45,0.45,0.491,0.982,0.793,0.618,0.525,0.525,NIMS_2_1,2/24/2005 0:00,333,FS_NIMS_RMRS,12/16/2021 0:00,67572,2
6002,ACAN10,mulga,Acacia,aneura,,,54,54,,54,3,37,,,,X,,,,H,,,,,,N,,,,P,,5,,8,,,,,,,,,,,,0.98154,,0.98154,,,,,,0.98154,,,,,,,,,,,,,,,,,,FS_NIMS_SRS,10/29/2012 16:13,440,FS_NIMS_PNWRS,2/16/2017 11:50,798795,1.76
6001,ACAN4,blackbrush wattle,Acacia,anegadensis,,,54,54,54,,3,37,227,,,,,X,,H,,,,,,N,,,C,,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,NIMS_TROP_4_0,9/22/2010 13:56,10854,FS_NIMS,8/11/2022 6:11,732862,1.758473594
6021,ACAR,hollowheart,Acnistus,arborescens,,,54,54,54,,3,37,227,,,,,X,,H,,,,,,N,,,C,,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,NIMS_TROP_4_0,9/22/2010 13:56,10854,FS_NIMS,8/11/2022 6:11,732862,1.758473594
6003,ACAU,auri,Acacia,auriculiformis,,,54,54,,54,3,37,146,,,X,,,,H,,,,,,N,,,,P,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.93185,0.68,26,0.68,26,80.49,26,75.13,26,0.68,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,FS_NIMS_SRS,10/29/2012 0:00,440,FS_NIMS_PNWRS,7/7/2022 0:00,67572,2
311,ACBA3,Florida maple,Acer,barbatum,,,31,47,,,4,25,151,,,,,X,,H,,,,,,Y,E,,,,,1.7,,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84103,0.47,24,0.53,24,90.57,24,70.29,24,0.52,24,10.88,24,0.11585,0.94181,0.1074,1,0.84,0.71,0.45,0.45,0.491,0.979,0.766,0.565,0.45,0.45,NIMS_2_1,2/24/2005 9:40,333,FS_NIMS_PNWRS,2/16/2017 11:50,798795,1.725062321
5145,ACCA5,hedge maple,Acer,campestre,,,55,55,,,3,37,,X,X,X,,X,,H,,,,,,N,X,,,,,6,,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84,0.47,24,0.53,24,90.54,24,70.16,24,0.52,24,10.81,24,,,,,,,,,,,,,,,FS_NIMS_NRS,5/1/2014 10:12,440,FS_NIMS_NRS,4/19/2019 10:47,981125,1.76
5146,ACCI,vine maple,Acer,circinatum,,,55,55,,,3,37,221,X,X,X,,X,,H,,,,,,N,X,,,,,6,,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84,0.47,25,0.53,25,90.54,25,70.16,25,0.52,25,10.81,25,,,,,,,,,,,,,,,FS_NIMS_NRS,5/1/2014 0:00,440,FS_NIMS,1/15/2020 0:00,732862,2
